"League","Year","Season","Type","blueTeamTag","bResult","rResult","redTeamTag","gamelength","bInhibs","bDragons","bBarons","bHeralds","rInhibs","rDragons","rBarons","rHeralds","blueTop","blueTopChamp","blueJungle","blueJungleChamp","blueMiddle","blueMiddleChamp","blueADC","blueADCChamp","blueSupport","blueSupportChamp","redTop","redTopChamp","redJungle","redJungleChamp","redMiddle","redMiddleChamp","redADC","redADCChamp","redSupport","redSupportChamp","Address"
"CBLoL","2016","Summer","Season","VFK","1","0","RED","28","[[26.101, 'TOP_LANE'], [27.101, 'MID_LANE'], [23.542, 'BOT_LANE']]","[[10.075, None], [16.488, None]]","[[23.899]]","[[11.936], [17.369]]","[]","[[22.785, None]]","[]","[]","Robo","Trundle","Nappon","Nidalee","takeshi","Ryze","esA","Lucian","Baiano","Morgana","Ayel","Maokai","YoDa SL","Elise","Brucer","Varus","SacyR","Sivir","Dioud","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1370190?gameHash=8af530519dc75e78"
"CBLoL","2016","Summer","Season","RED","1","0","VFK","45","[[44.354, 'BOT_LANE'], [37.021, 'BOT_LANE']]","[[37.418, None], [10.53, None], [17.253, None], [30.625, None]]","[[43.358], [33.863]]","[[16.256]]","[]","[[24.295, None]]","[]","[[9.346]]","Ayel","Poppy","YoDa SL","Elise","Brucer","Azir","SacyR","Lucian","Dioud","Thresh","Robo","Gragas","Nappon","Nidalee","takeshi","Ryze","esA","Sivir","Baiano","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1370204?gameHash=5adac764980005c4"
"CBLoL","2016","Summer","Season","CNB","1","0","ITZ","36","[[35.476, 'BOT_LANE']]","[[19.142, None], [25.564, None], [12.083, None]]","[[33.071]]","[[16.86], [5.64]]","[]","[[5.675, None], [31.733, None]]","[]","[[11.149]]","LEP","Maokai","Minerva","Elise","tinowns","Zilean","pbO","Lucian","Wos","Braum","Yang","Poppy","Revolta","Kindred","tockers","Lulu","micaO","Caitlyn","Jockster","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1370215?gameHash=0a16bac145768a03"
"CBLoL","2016","Summer","Season","ITZ","1","0","CNB","45","[[43.704, 'BOT_LANE']]","[[36.718, None]]","[[32.646]]","[]","[]","[[15.032, None], [8.345, None], [29.656, None], [22.552, None]]","[]","[[14.291]]","Yang","Ekko","Revolta","Graves","tockers","Ryze","micaO","Ezreal","Jockster","Bard","LEP","Maokai","Minerva","Elise","tinowns","Azir","pbO","Kalista","Wos","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1370220?gameHash=6fbda5ce60ccd8e0"
"CBLoL","2016","Summer","Season","KBM","1","0","BGG","30","[[26.932, 'BOT_LANE']]","[[21.318, None], [27.807, None], [6.876, None]]","[[25.001]]","[]","[]","[[15.046, None]]","[]","[]","Zantins","Ekko","Danagorn","Kindred","Vash","Ryze","Matsukaze","Ezreal","Verfix","Karma","Ranger","Poppy","Tierwulf VPP","Elise","Rakin VPP","Lissandra","Luskka","Sivir","RedBert VPP","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380220?gameHash=78598380f7e3c9c8"
"CBLoL","2016","Summer","Season","BGG","0","1","KBM","50","[[34.058, 'MID_LANE']]","[[23.469, None], [30.691, None], [36.812, None]]","[[33.587]]","[[10.786], [16.745]]","[[44.394, 'BOT_LANE'], [49.653, 'MID_LANE'], [49.492, 'BOT_LANE']]","[[10.793, None], [17.102, None], [42.95, None]]","[[41.722]]","[]","Ranger","Ryze","Tierwulf VPP","Graves","Rakin VPP","Morgana","Luskka","Lucian","RedBert VPP","Bard","Zantins","Ekko","Danagorn","Kindred","Vash","Anivia","Matsukaze","Caitlyn","Verfix","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380222?gameHash=912695bf4710aad9"
"CBLoL","2016","Summer","Season","PNG","1","0","OPK","39","[[38.547, 'BOT_LANE']]","[[30.504, None]]","[[33.589]]","[[19.116], [10.81]]","[[38.583, 'TOP_LANE']]","[[17.79, None], [36.779, None], [24.134, None], [10.7, None]]","[]","[]","Mylon","Ekko","SirT","Graves","Kami","Azir","TaeYeon","Caitlyn","Ziriguidun","Braum","SkyBart","Poppy","Turtle","Elise","Goku","Ryze","Skyer","Sivir","Professor","Nautilus","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380234?gameHash=1bd72440ed6e6f19"
"CBLoL","2016","Summer","Season","OPK","0","1","PNG","27","[]","[[17.414, None]]","[]","[]","[[26.566, 'MID_LANE']]","[[23.712, None], [11.243, None]]","[[24.864]]","[[18.199]]","SkyBart","Poppy","Turtle","Elise","Goku","Azir","Skyer","Ezreal","Professor","Morgana","Mylon","Maokai","SirT","Graves","Kami","Xerath","TaeYeon","Lucian","Ziriguidun","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380238?gameHash=867ab52b79e14742"
"CBLoL","2016","Summer","Season","CNB","0","1","OPK","48","[]","[]","[]","[]","[[40.773, 'MID_LANE'], [47.066, 'MID_LANE'], [46.421, 'TOP_LANE'], [38.004, 'BOT_LANE'], [43.246, 'BOT_LANE'], [40.269, 'TOP_LANE']]","[[18.909, 'AIR_DRAGON'], [25.098, 'AIR_DRAGON'], [38.482, 'ELDER_DRAGON'], [31.301, 'EARTH_DRAGON'], [12.781, 'EARTH_DRAGON']]","[[39.457], [24.208]]","[[14.296]]","LEP","Darius","Minerva","Elise","tinowns","Viktor","pbO","Lucian","Wos","Braum","SkyBart","Maokai","Turtle","Kindred","Goku","Taliyah","Skyer","Sivir","Professor","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390020?gameHash=53f07b53fdbd3431"
"CBLoL","2016","Summer","Season","OPK","0","1","CNB","49","[[38.243, 'MID_LANE']]","[[9.26, 'WATER_DRAGON'], [39.065, 'ELDER_DRAGON'], [25.627, 'WATER_DRAGON'], [18.228, 'EARTH_DRAGON']]","[[36.934], [28.852]]","[]","[[47.886, 'MID_LANE']]","[[32.438, 'EARTH_DRAGON']]","[[45.322]]","[]","SkyBart","Ekko","Turtle","Elise","Goku","Lissandra","Skyer","Sivir","Professor","Nami","LEP","Maokai","Minerva","Malzahar","tinowns","Azir","pbO","Caitlyn","Wos","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390025?gameHash=51ef60edcad08a1f"
