"League","Year","Season","Type","blueTeamTag","bResult","rResult","redTeamTag","gamelength","bInhibs","bDragons","bBarons","bHeralds","rInhibs","rDragons","rBarons","rHeralds","blueTop","blueTopChamp","blueJungle","blueJungleChamp","blueMiddle","blueMiddleChamp","blueADC","blueADCChamp","blueSupport","blueSupportChamp","redTop","redTopChamp","redJungle","redJungleChamp","redMiddle","redMiddleChamp","redADC","redADCChamp","redSupport","redSupportChamp","Address"
"CBLoL","2016","Summer","Season","VFK","1","0","PNG","47","[[41.597, 'MID_LANE'], [41.669, 'BOT_LANE'], [44.36, 'TOP_LANE']]","[[26.588, 'EARTH_DRAGON'], [32.919, 'WATER_DRAGON'], [40.217, 'ELDER_DRAGON']]","[[39.4]]","[]","[]","[[13.513, 'EARTH_DRAGON'], [20.338, 'WATER_DRAGON']]","[]","[[16.668]]","Robo","Trundle","Nappon","Elise","takeshi","Viktor","esA","Jhin","Baiano","Braum","Mylon","Irelia","SirT","RekSai","Kami","Zilean","TaeYeon","Ezreal","Ziriguidun","Zyra","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420108?gameHash=80d4e4c9797683d1"
"CBLoL","2016","Summer","Season","PNG","1","0","VFK","40","[[30.729, 'MID_LANE'], [38.716, 'MID_LANE'], [21.742, 'MID_LANE']]","[[31.799, 'EARTH_DRAGON'], [38.142, 'ELDER_DRAGON'], [19.431, 'AIR_DRAGON'], [25.69, 'EARTH_DRAGON'], [13.317, 'FIRE_DRAGON']]","[[28.291], [36.708]]","[]","[]","[[6.4, 'FIRE_DRAGON']]","[]","[[14.033]]","Mylon","Irelia","SirT","Kindred","Kami","Anivia","TaeYeon","Ashe","Ziriguidun","Braum","Robo","Trundle","Nappon","Elise","takeshi","Viktor","esA","Ezreal","Baiano","Zyra","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420114?gameHash=a1dbe92b90c414ba"
"CBLoL","2016","Summer","Season","RED","0","1","PNG","40","[]","[[33.63, 'WATER_DRAGON']]","[]","[]","[[27.211, 'BOT_LANE'], [32.968, 'MID_LANE'], [27.28, 'MID_LANE'], [38.973, 'MID_LANE'], [35.585, 'TOP_LANE']]","[[19.896, 'AIR_DRAGON'], [26.212, 'AIR_DRAGON'], [11.928, 'FIRE_DRAGON']]","[[22.672], [37.257], [29.88]]","[[17.847]]","Ayel","Trundle","YoDa SL","Gragas","Brucer","Azir","SacyR","Sivir","Dioud","Braum","Mylon","Irelia","SirT","RekSai","Kami","Viktor","TaeYeon","Ashe","Ziriguidun","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420194?gameHash=858aa346f5dba85c"
"CBLoL","2016","Summer","Season","PNG","0","1","RED","41","[]","[[13.709, 'EARTH_DRAGON']]","[]","[[9.588]]","[[40.495, 'MID_LANE'], [39.798, 'BOT_LANE']]","[[20.23, 'EARTH_DRAGON'], [32.84, 'AIR_DRAGON'], [39.033, 'ELDER_DRAGON'], [5.858, 'FIRE_DRAGON'], [26.781, 'EARTH_DRAGON']]","[[27.92], [36.365]]","[]","Mylon","Irelia","SirT","RekSai","Kami","Swain","TaeYeon","Ashe","Ziriguidun","Thresh","Ayel","Trundle","YoDa SL","Elise","Brucer","Azir","SacyR","Sivir","Dioud","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420202?gameHash=605d6fcbe289f58e"
"CBLoL","2016","Summer","Season","ITZ","1","0","KBM","29","[[24.783, 'MID_LANE'], [25.217, 'TOP_LANE']]","[[25.949, 'AIR_DRAGON'], [19.018, 'AIR_DRAGON'], [6.207, 'WATER_DRAGON'], [12.627, 'AIR_DRAGON']]","[[22.881]]","[[8.415]]","[]","[]","[]","[]","Yang","Trundle","Revolta","RekSai","tockers","Viktor","micaO","Ashe","Jockster","Bard","Zantins","Maokai","Danagorn","Elise","Vash","Azir","Matsukaze","Caitlyn","Verfix","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420216?gameHash=4306a295e604a4ff"
"CBLoL","2016","Summer","Season","KBM","0","1","ITZ","49","[[43.012, 'BOT_LANE']]","[[33.609, 'AIR_DRAGON'], [27.085, 'EARTH_DRAGON']]","[[32.71], [40.897]]","[[12.94]]","[[41.566, 'MID_LANE'], [47.922, 'MID_LANE']]","[[20.277, 'FIRE_DRAGON'], [40.957, 'ELDER_DRAGON'], [14.023, 'FIRE_DRAGON'], [7.422, 'FIRE_DRAGON']]","[[23.087]]","[]","Zantins","Irelia","Danagorn","RekSai","Vash","Lissandra","Matsukaze","Jhin","Verfix","Braum","Yang","Shen","Revolta","Elise","tockers","Viktor","micaO","Ashe","Jockster","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420219?gameHash=7dcb8d6c1af50ca4"
"CBLoL","2016","Summer","Season","CNB","1","0","BGG","41","[[32.234, 'MID_LANE'], [37.432, 'MID_LANE'], [37.251, 'BOT_LANE']]","[[15.283, 'AIR_DRAGON'], [21.521, 'AIR_DRAGON'], [34.363, 'FIRE_DRAGON'], [27.919, 'AIR_DRAGON']]","[[31.262]]","[[19.668]]","[]","[[8.908, 'WATER_DRAGON']]","[]","[]","LEP","Illaoi","Minerva","Elise","tinowns","Swain","pbO","Tristana","Wos","Braum","Ranger","Shen","Tierwulf VPP","RekSai","Rakin VPP","Zilean","Luskka","Twitch","RedBert VPP","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420238?gameHash=95faa9f6c39c8ec8"
"CBLoL","2016","Summer","Season","BGG","0","1","CNB","52","[[45.794, 'MID_LANE']]","[[30.846, 'EARTH_DRAGON'], [17.575, 'EARTH_DRAGON']]","[[37.659], [44.861]]","[]","[[42.886, 'MID_LANE'], [43.462, 'BOT_LANE'], [50.774, 'BOT_LANE']]","[[24.63, 'WATER_DRAGON'], [10.77, 'EARTH_DRAGON'], [39.591, 'ELDER_DRAGON']]","[[29.707]]","[[15.908]]","Ranger","Jax","Tierwulf VPP","Hecarim","Rakin VPP","Azir","Luskka","Ezreal","RedBert VPP","Braum","LEP","Fiora","Minerva","RekSai","tinowns","Swain","pbO","Tristana","Wos","Zyra","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420248?gameHash=635a7b6c50acc3eb"
"CBLoL","2016","Summer","Season","OPK","1","0","VFK","37","[[30.961, 'MID_LANE'], [36.03, 'MID_LANE'], [34.002, 'TOP_LANE'], [24.674, 'MID_LANE'], [31.866, 'BOT_LANE']]","[[34.72, 'FIRE_DRAGON'], [19.142, 'FIRE_DRAGON']]","[[22.214], [30.52]]","[]","[]","[[12.763, 'WATER_DRAGON'], [25.402, 'AIR_DRAGON']]","[]","[]","SkyBart","Irelia","Turtle","Elise","Goku","Ryze","Skyer","Caitlyn","Professor","Nami","Robo","Shen","Nappon","Evelynn","takeshi","Viktor","esA","Sivir","Baiano","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420263?gameHash=5c6ebb4578e2afd7"
"CBLoL","2016","Summer","Season","VFK","1","0","OPK","37","[[34.091, 'BOT_LANE'], [34.207, 'TOP_LANE']]","[[19.366, 'AIR_DRAGON'], [27.052, 'WATER_DRAGON']]","[[33.173]]","[]","[]","[[33.407, 'EARTH_DRAGON']]","[]","[[10.923]]","Robo","Trundle","Nappon","RekSai","takeshi","Vladimir","esA","Jhin","Baiano","Karma","SkyBart","Ekko","Turtle","Elise","Goku","Anivia","Skyer","Caitlyn","Professor","Nami","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420265?gameHash=a67a3569206dd2d7"
"CBLoL","2016","Summer","Season","KBM","0","1","RED","31","[]","[[13.213, 'FIRE_DRAGON']]","[]","[]","[[26.264, 'BOT_LANE'], [29.075, 'MID_LANE']]","[[20.097, 'WATER_DRAGON'], [7.044, 'FIRE_DRAGON'], [27.152, 'WATER_DRAGON']]","[[23.704]]","[[8.957]]","Verto","Fizz","Zuao","Kindred","Vash","Lissandra","Matsukaze","Ashe","Verfix","Thresh","Ayel","Trundle","YoDa SL","Elise","Brucer","Leblanc","SacyR","Ezreal","Dioud","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420286?gameHash=9c4ef3b2814d8592"
"CBLoL","2016","Summer","Season","RED","1","0","KBM","56","[[45.126, 'MID_LANE'], [54.571, 'MID_LANE'], [55.016, 'BOT_LANE']]","[[48.708, 'ELDER_DRAGON'], [30.71, 'EARTH_DRAGON'], [24.597, 'FIRE_DRAGON']]","[[51.61], [26.225]]","[]","[[38.697, 'BOT_LANE']]","[[37.939, 'ELDER_DRAGON'], [9.265, 'EARTH_DRAGON'], [18.205, 'AIR_DRAGON']]","[[44.059], [35.867]]","[]","Ayel","Trundle","YoDa SL","Elise","Brucer","Azir","SacyR","Sivir","Dioud","Thresh","Verto","Fiora","Danagorn","Kindred","Vash","Viktor","Matsukaze","Jhin","Verfix","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420293?gameHash=915c482f5e48f393"
"CBLoL","2016","Summer","Season","PNG","1","0","ITZ","43","[[42.042, 'MID_LANE'], [41.79, 'TOP_LANE']]","[[39.52, 'ELDER_DRAGON'], [18.752, 'WATER_DRAGON'], [32.942, 'FIRE_DRAGON'], [26.18, 'EARTH_DRAGON'], [12.139, 'EARTH_DRAGON']]","[[39.074]]","[[19.378]]","[]","[[5.804, 'FIRE_DRAGON']]","[]","[]","Mylon","Trundle","SirT","RekSai","Kami","Vladimir","TaeYeon","Jhin","Ziriguidun","Bard","Yang","Irelia","Revolta","Gragas","tockers","Azir","micaO","Ashe","Jockster","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420306?gameHash=744f3012f7172379"
"CBLoL","2016","Summer","Season","ITZ","1","0","PNG","37","[[34.772, 'MID_LANE']]","[[22.541, 'WATER_DRAGON'], [29.304, 'WATER_DRAGON'], [9.65, 'FIRE_DRAGON'], [16.148, 'FIRE_DRAGON']]","[[28.214]]","[]","[]","[]","[]","[]","Yang","Irelia","Revolta","RekSai","tockers","Swain","micaO","Sivir","Jockster","Alistar","Mylon","Trundle","SirT","Gragas","Kami","Azir","TaeYeon","Caitlyn","Ziriguidun","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420311?gameHash=a10f2c61e4832ab3"
"CBLoL","2016","Summer","Season","BGG","0","1","OPK","33","[]","[]","[]","[]","[[29.2, 'TOP_LANE'], [31.559, 'BOT_LANE']]","[[20.173, 'WATER_DRAGON'], [27.264, 'FIRE_DRAGON'], [13.743, 'WATER_DRAGON']]","[[24.226]]","[]","Ranger","Shen","Tierwulf VPP","RekSai","Rakin VPP","Azir","Luskka","Ezreal","RedBert VPP","Karma","SkyBart","Irelia","Turtle","Nidalee","Goku","Leblanc","Skyer","Jhin","Professor","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410277?gameHash=2f4d3ed1bdaf963f"
"CBLoL","2016","Summer","Season","OPK","0","1","BGG","44","[]","[[12.922, 'AIR_DRAGON'], [38.057, 'ELDER_DRAGON']]","[]","[]","[[43.589, 'MID_LANE'], [43.695, 'BOT_LANE']]","[[19.058, 'WATER_DRAGON'], [25.573, 'EARTH_DRAGON'], [31.711, 'WATER_DRAGON']]","[[33.736], [41.231]]","[[16.289]]","SkyBart","Irelia","Turtle","Elise","Goku","Leblanc","Skyer","Caitlyn","Professor","Nami","Ranger","Trundle","Tierwulf VPP","Graves","Rakin VPP","Zilean","Luskka","Ezreal","RedBert VPP","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410279?gameHash=b6443944c0bd3187"
"CBLoL","2016","Summer","Season","VFK","0","1","CNB","37","[]","[[35.663, 'ELDER_DRAGON'], [16.347, 'FIRE_DRAGON'], [29.028, 'AIR_DRAGON']]","[[30.86]]","[]","[[35.689, 'TOP_LANE'], [30.994, 'BOT_LANE']]","[[22.683, 'FIRE_DRAGON']]","[]","[]","Robo","Ryze","Nappon","Gragas","takeshi","Swain","esA","Jhin","Baiano","Karma","LEP","Fiora","Minerva","RekSai","tinowns","TwistedFate","pbO","Tristana","Wos","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410288?gameHash=41bdb8ac2da38910"
"CBLoL","2016","Summer","Season","CNB","1","0","VFK","40","[[39.649, 'MID_LANE']]","[[12.637, 'EARTH_DRAGON'], [25.986, 'EARTH_DRAGON'], [19.413, 'FIRE_DRAGON'], [32.151, 'FIRE_DRAGON']]","[[38.954], [30.196]]","[]","[]","[[6.094, 'EARTH_DRAGON']]","[]","[[16.651]]","LEP","Shen","Minerva","RekSai","tinowns","Viktor","pbO","Ashe","Wos","Zyra","Robo","Fiora","Nappon","Hecarim","takeshi","Leblanc","esA","Ezreal","Baiano","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410292?gameHash=c8f790cb2704bd89"
"CBLoL","2016","Spring","Playoffs","KBM","1","0","PNG","54","[[49.692, 'MID_LANE']]","[[45.845, None], [32.027, None], [38.927, None]]","[]","[]","[]","[[22.542, None], [15.566, None]]","[]","[[17.126]]","LEP","Rammus","Minerva","Gragas","tinowns","Azir","Matsukaze","Lucian","Ziriguidun","Braum","Mylon","Poppy","SirT","RekSai","Kami","Leblanc","brTT RX","Ezreal","Picoca","Trundle","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270131?gameHash=f32d050885b4b831"
"CBLoL","2016","Spring","Playoffs","KBM","1","0","PNG","50","[[49.129, 'MID_LANE']]","[[39.121, None], [26.413, None], [32.713, None]]","[[39.871]]","[[19.725]]","[]","[[45.722, None], [18.407, None]]","[]","[[12.558]]","LEP","Rammus","Minerva","LeeSin","tinowns","Lissandra","Matsukaze","Lucian","Ziriguidun","Bard","Mylon","Poppy","SirT","Rumble","Kami","Quinn","brTT RX","Jhin","Picoca","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270135?gameHash=7574a76f14f66301"
"CBLoL","2016","Spring","Playoffs","OPK","0","1","RED","35","[]","[[14.232, None]]","[]","[]","[[33.473, 'TOP_LANE']]","[[20.794, None], [27.155, None], [7.914, None]]","[[32.648]]","[[10.142], [16.413]]","SkyBart","Gangplank","Zuao","Elise","Goku","Katarina","EzPrince","Lucian","Professor","Trundle","Ayel","Rammus","Caos","RekSai","Brucer","Corki","SacyR","Jhin","Eryon","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280116?gameHash=a9ba79a34bdd28cb"
"CBLoL","2016","Spring","Playoffs","RED","0","1","OPK","63","[[45.395, 'MID_LANE']]","[[36.747, None], [43.054, None], [30.479, None], [24.02, None]]","[]","[[18.811]]","[[61.915, 'BOT_LANE'], [61.541, 'MID_LANE'], [53.015, 'MID_LANE']]","[[56.222, None], [16.279, None], [49.75, None]]","[[34.283], [44.901], [52.19]]","[]","Ayel","Rammus","Caos","Gragas","Brucer","Corki","SacyR","Ezreal","Eryon","Thresh","SkyBart","Gangplank","Zuao","Elise","Goku","Lux","EzPrince","Lucian","Professor","Morgana","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280118?gameHash=c3df2fa9af5fc602"
"CBLoL","2016","Spring","Playoffs","OPK","1","0","RED","41","[[40.445, 'MID_LANE']]","[[40.008, None], [27.04, None], [20.745, None], [13.531, None], [33.631, None]]","[[30.821], [38.054]]","[[15.902], [10.422]]","[]","[[7.262, None]]","[]","[]","SkyBart","Fiora","Zuao","Elise","Goku","Lissandra","EzPrince","Lucian","Professor","Morgana","Ayel","Poppy","Caos","RekSai","Brucer","Corki","SacyR","Caitlyn","Eryon","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280119?gameHash=ebaaefb084a326e0"
"CBLoL","2016","Spring","Playoffs","RED","0","1","PNG","39","[]","[[33.838, None]]","[]","[[16.484], [6.285]]","[[37.948, 'BOT_LANE']]","[[20.972, None], [8.591, None], [14.797, None], [27.191, None]]","[[35.562]]","[]","Ayel","Fiora","Caos","Gragas","Brucer","Lulu","SacyR","Kalista","Eryon","Thresh","Mylon","Nautilus","SirT","Elise","Kami","Zilean","brTT RX","Lucian","Picoca","Trundle","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280128?gameHash=91c2677458bdfce2"
"CBLoL","2016","Spring","Playoffs","RED","1","0","PNG","44","[[43.567, 'MID_LANE'], [38.051, 'MID_LANE']]","[[12.393, None], [31.196, None], [40.122, None]]","[[25.994]]","[]","[]","[[25.065, None], [18.61, None]]","[[39.458]]","[]","Ayel","Zed","Caos","Gragas","Brucer","Nautilus","SacyR","Kalista","Eryon","Thresh","Mylon","Poppy","SirT","Elise","Kami","Chogath","brTT RX","Lucian","Picoca","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270178?gameHash=3c2fe29086e1e57a"
"CBLoL","2016","Spring","Playoffs","RED","1","0","PNG","41","[[38.561, 'BOT_LANE'], [39.01, 'MID_LANE'], [39.664, 'TOP_LANE']]","[[33.993, None], [14.262, None]]","[[28.096], [36.725]]","[[16.932]]","[]","[[27.849, None], [21.494, None]]","[]","[]","Ayel","Poppy","Caos","Gragas","Brucer","Morgana","SacyR","Kalista","Eryon","Lissandra","Mylon","Nautilus","SirT","Nidalee","Kami","Corki","brTT RX","Ezreal","Picoca","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270186?gameHash=68915eb70070ca51"
"CBLoL","2016","Spring","Playoffs","CNB","1","0","g3x","34","[[32.859, 'TOP_LANE']]","[[29.9, None], [16.84, None], [23.052, None], [10.657, None]]","[[31.775]]","[[12.47]]","[]","[]","[]","[]","Aoshi","Malphite","Nappon","Kindred","Vash","Orianna","pbO","Kalista","Wos","Alistar","Zantins","Trundle","Snowlz","Nidalee","TaeYeon","Corki","Skyer","Ezreal","Alocs","Nautilus","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280146?gameHash=48d19a3c07ef0b2a"
"CBLoL","2016","Spring","Playoffs","CNB","1","0","g3x","43","[[38.093, 'BOT_LANE'], [33.711, 'TOP_LANE'], [38.984, 'MID_LANE'], [42.105, 'TOP_LANE']]","[[5.871, None], [18.702, None], [37.396, None], [25.09, None], [12.281, None], [31.232, None]]","[[33.207]]","[]","[[25.181, 'TOP_LANE']]","[]","[]","[[5.948], [12.603]]","Aoshi","Malphite","Nappon","Kindred","Vash","Lux","pbO","Lucian","Wos","Thresh","Zantins","Fiora","Snowlz","Elise","TaeYeon","TwistedFate","Skyer","Sivir","Alocs","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270199?gameHash=1a03433e129f3e19"
"CBLoL","2016","Spring","Playoffs","VFK","1","0","KBM","39","[[32.81, 'MID_LANE'], [35.066, 'BOT_LANE'], [37.104, 'TOP_LANE']]","[[29.621, None], [36.106, None], [22.672, None]]","[]","[[16.401]]","[]","[[16.348, None]]","[]","[[9.125]]","Robo","Malphite","Turtle","Gragas","takeshi","Lissandra","esA","Sivir","Baiano","Nautilus","LEP","Poppy","Minerva","Elise","tinowns","Leblanc","Matsukaze","Lucian","Ziriguidun","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300025?gameHash=deadca9d7c5def90"
"CBLoL","2016","Spring","Playoffs","VFK","1","0","KBM","32","[[29.49, 'BOT_LANE'], [24.35, 'BOT_LANE'], [27.181, 'TOP_LANE'], [28.527, 'MID_LANE']]","[[18.86, None], [25.535, None]]","[]","[[15.838], [10.533]]","[]","[[12.587, None]]","[]","[[5.33]]","Robo","Poppy","Turtle","Gragas","takeshi","Lulu","esA","Caitlyn","Baiano","Morgana","LEP","Trundle","Minerva","Kindred","tinowns","Azir","Matsukaze","Lucian","Ziriguidun","Lissandra","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1290025?gameHash=31209c812cb91344"
"CBLoL","2016","Spring","Playoffs","KBM","0","1","VFK","29","[]","[]","[]","[]","[[26.992, 'MID_LANE'], [28.004, 'TOP_LANE'], [26.845, 'BOT_LANE']]","[[22.616, None], [9.152, None], [16.387, None]]","[[25.232]]","[[14.156], [19.384]]","LEP","Poppy","Minerva","Gragas","tinowns","Ezreal","Matsukaze","Sivir","Ziriguidun","Janna","Robo","Rammus","Turtle","Elise","takeshi","Leblanc","esA","Lucian","Baiano","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1290026?gameHash=1d68dc49a43192d9"
"CBLoL","2016","Spring","Playoffs","ITZ","1","0","OPK","35","[[28.035, 'TOP_LANE'], [30.164, 'BOT_LANE'], [34.066, 'TOP_LANE'], [30.636, 'MID_LANE']]","[[32.684, None], [19.791, None]]","[[25.477], [32.881]]","[[6.065]]","[]","[[25.898, None], [12.478, None], [6.091, None]]","[]","[[14.772]]","Yang","Trundle","Revolta","Graves","tockers","Azir","micaO","Vayne","Jockster","Braum","SkyBart","Rammus","Zuao","Elise","Goku","Varus","EzPrince","Lucian","Professor","Morgana","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300034?gameHash=243307974d2620c6"
"CBLoL","2016","Spring","Playoffs","OPK","1","0","ITZ","51","[[49.366, 'BOT_LANE'], [45.886, 'MID_LANE']]","[[34.121, None], [46.458, None], [40.349, None], [20.581, None], [26.784, None]]","[[39.425], [47.978]]","[[13.089]]","[]","[[12.934, None]]","[[30.704]]","[[19.858]]","SkyBart","Poppy","Zuao","Kindred","Goku","Morgana","EzPrince","Corki","Professor","Braum","Yang","Trundle","Revolta","Nidalee","tockers","Leblanc","micaO","Lucian","Jockster","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300035?gameHash=2dd88b7623d5716d"
"CBLoL","2016","Spring","Playoffs","ITZ","1","0","OPK","42","[[40.632, 'BOT_LANE'], [35.315, 'BOT_LANE'], [38.201, 'MID_LANE']]","[[35.694, None], [25.982, None]]","[]","[[19.752]]","[]","[[13.35, None], [19.787, None]]","[[30.48]]","[]","Yang","Poppy","Revolta","Elise","tockers","Zed","micaO","Corki","Jockster","Bard","SkyBart","Gangplank","Zuao","RekSai","Goku","Chogath","EzPrince","Lucian","Professor","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300036?gameHash=0ca38e86e4a327d7"
"CBLoL","2016","Spring","Playoffs","OPK","0","1","ITZ","35","[]","[[20.182, None], [33.148, None], [14.012, None], [5.786, None]]","[]","[[15.309]]","[[34.051, 'MID_LANE']]","[[26.976, None]]","[[27.551]]","[[6.035]]","SkyBart","Gangplank","Zuao","Kindred","Goku","Karma","EzPrince","Lucian","Professor","Braum","Yang","Poppy","Revolta","Elise","tockers","Azir","micaO","Corki","Jockster","Nautilus","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300037?gameHash=02fe6775b364438e"
"CBLoL","2016","Spring","Playoffs","ITZ","1","0","VFK","37","[[30.054, 'MID_LANE'], [36.287, 'MID_LANE']]","[[19.199, None], [11.699, None]]","[[27.073]]","[[13.761]]","[]","[[32.411, None], [25.694, None]]","[]","[[7.349], [19.486]]","Yang","Gragas","Revolta","Kindred","tockers","Corki","micaO","Kalista","Jockster","Trundle","Robo","Poppy","Turtle","Elise","takeshi","Ryze","esA","Sivir","Baiano","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRLT1/340051?gameHash=25218cdd9384f280"
"CBLoL","2016","Spring","Playoffs","VFK","0","1","ITZ","43","[]","[[27.469, None], [11.945, None], [19.693, None]]","[]","[[18.359]]","[[37.754, 'MID_LANE']]","[[40.306, None], [33.954, None]]","[[34.841]]","[[6.126]]","Robo","Maokai","Turtle","Sejuani","takeshi","Zed","esA","Lucian","Baiano","Braum","Yang","Gragas","Revolta","Graves","tockers","Corki","micaO","Sivir","Jockster","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRLT1/340053?gameHash=386d6f45fd736b23"
"CBLoL","2016","Summer","Playoffs","RED","1","0","BGG","44","[[43.384, 'MID_LANE'], [42.653, 'TOP_LANE']]","[[33.905, 'FIRE_DRAGON'], [40.992, 'ELDER_DRAGON'], [13.065, 'AIR_DRAGON'], [4.234, 'FIRE_DRAGON'], [20.165, 'WATER_DRAGON']]","[[40.265]]","[[15.451]]","[]","[[27.597, 'WATER_DRAGON']]","[]","[]","beansu","Trundle","YoDa SL","Elise","Brucer","Viktor","SacyR","Sivir","Dioud","Thresh","Ranger","Fiora","Tierwulf VPP","RekSai","Rakin VPP","Leblanc","Luskka","Ezreal","RedBert VPP","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1430022?gameHash=7c24b86682cdf99d"
"CBLoL","2016","Summer","Playoffs","RED","1","0","BGG","62","[[54.89, 'MID_LANE'], [40.858, 'MID_LANE'], [61.157, 'MID_LANE'], [55.341, 'TOP_LANE'], [49.843, 'MID_LANE']]","[[49.479, 'ELDER_DRAGON'], [17.357, 'FIRE_DRAGON'], [60.719, 'ELDER_DRAGON'], [38.498, 'ELDER_DRAGON'], [30.575, 'WATER_DRAGON'], [24.128, 'FIRE_DRAGON']]","[[54.27], [33.898]]","[]","[]","[[10.163, 'FIRE_DRAGON']]","[[44.908]]","[]","beansu","Trundle","YoDa SL","Elise","Brucer","Viktor","SacyR","Sivir","Dioud","Thresh","Ranger","Gnar","Tierwulf VPP","Gragas","Rakin VPP","Ziggs","Luskka","Ezreal","RedBert VPP","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1430024?gameHash=6a4050376d44b95c"
"CBLoL","2016","Summer","Playoffs","VFK","0","1","CNB","36","[]","[[9.635, 'FIRE_DRAGON']]","[]","[[12.118]]","[[33.216, 'BOT_LANE']]","[[24.62, 'EARTH_DRAGON'], [17.402, 'AIR_DRAGON'], [34.22, 'EARTH_DRAGON']]","[[26.888]]","[]","Robo","Malphite","Nappon","RekSai","takeshi","Lissandra","esA","Twitch","Baiano","Alistar","LEP","Irelia","Minerva","Gragas","tinowns","Azir","pbO","Jhin","Wos","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440057?gameHash=c0db674dad2444ec"
"CBLoL","2016","Summer","Playoffs","VFK","1","0","CNB","52","[[47.54, 'MID_LANE'], [49.347, 'BOT_LANE']]","[[31.997, 'EARTH_DRAGON'], [19.196, 'EARTH_DRAGON'], [25.337, 'WATER_DRAGON'], [49.874, 'ELDER_DRAGON']]","[[46.537]]","[]","[]","[[11.527, 'EARTH_DRAGON']]","[[37.734]]","[]","Robo","Maokai","Nappon","RekSai","takeshi","Ryze","esA","Jhin","Baiano","Alistar","LEP","Irelia","Minerva","Gragas","tinowns","TwistedFate","pbO","Lucian","Wos","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440060?gameHash=f04ca7f7646c7969"
"CBLoL","2016","Summer","Playoffs","VFK","0","1","CNB","30","[]","[]","[]","[]","[[29.206, 'BOT_LANE']]","[[24.803, 'WATER_DRAGON'], [18.291, 'EARTH_DRAGON'], [12.019, 'EARTH_DRAGON']]","[[23.649]]","[[19.865]]","Robo","Swain","Nappon","RekSai","takeshi","Lissandra","esA","Lucian","Baiano","Braum","LEP","Shen","Minerva","Kindred","tinowns","Azir","pbO","Jhin","Wos","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440062?gameHash=060673f2d5b5fa1c"
